************************************************************************
        TABLE OF ISOTOPES  0.780E-02  0.100E+01

        NO. SYMBOL T/F MASSNR PROTON
         163  =  NGIS           1  =  ISOMERS
     70 T  1  O  16  +  1  C  12  ->  1  MG 24  +  1  HE  4   0.000E+00  VITAL  (v,v)  99   1.000E+00   6.534E+18
     71 T  1  O  16  +  1  C  12  ->  1  SI 27  +  1  NEUT    0.000E+00  VITAL  (v,v)  99   1.000E+00  -4.094E+17
     72 T  1  NE 20  +  0  OOOOO  ->  1  O  16  +  1  HE  4   0.000E+00  VITAL  (g,a)  10   1.000E+00  -4.564E+18
     73 T  1  N  13  +  0  OOOOO  ->  1  C  12  +  1  PROT    0.000E+00  VITAL  (g,p)   6   1.000E+00  -1.876E+18
     74 T  1  F  17  +  0  OOOOO  ->  1  O  16  +  1  PROT    0.000E+00  VITAL  (g,p)   6   1.000E+00  -5.789E+17
     75 T  1  C  14  +  1  PROT   ->  1  N  14  +  1  NEUT    0.000E+00  VITAL  (p,n)   7   1.000E+00  -6.034E+17
     76 T  1  N  14  +  1  NEUT   ->  1  C  14  +  1  PROT    0.000E+00  VITAL  (n,p)   3   1.000E+00   6.034E+17
     77 T  1  C  14  +  1  HE  4  ->  1  O  17  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00  -1.753E+18
     78 T  1  O  17  +  1  NEUT   ->  1  C  14  +  1  HE  4   0.000E+00  VITAL  (n,a)   4   1.000E+00   1.753E+18
     79 T  1  BE  8  +  0  OOOOO  ->  2  HE  4  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   8.877E+16
     80 T  1  C  12  +  0  OOOOO  ->  3  HE  4  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00  -7.019E+18
     81 T  1  MG 23  +  1  NEUT   ->  2  C  12  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   2.506E+18
     82 T  1  NA 23  +  1  PROT   ->  2  C  12  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00  -2.162E+18
     83 T  1  NE 20  +  1  HE  4  ->  2  C  12  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00  -4.455E+18
