 initial abundance for selected isotopes
  314   0.00000E+00  CL 55
  315   0.00000E+00  CL 56
  316   0.00000E+00  CL 57
  317   0.00000E+00  CL 58
  318   0.00000E+00  CL 59
  319   0.00000E+00  CL 60
  320   0.00000E+00  CL 61
  321   0.00000E+00  CL 62
  322   0.00000E+00  CL 63
  323   0.00000E+00  AR 27
  324   0.00000E+00  AR 28
  325   0.00000E+00  AR 29
  326   0.00000E+00  AR 30
  327   0.00000E+00  AR 31
  328   0.00000E+00  AR 32
  329   0.00000E+00  AR 33
  330   0.00000E+00  AR 34
  331   0.00000E+00  AR 35
  332   8.20216E-05  AR 36
  333   0.00000E+00  AR 37
  334   1.57415E-05  AR 38
  335   0.00000E+00  AR 39
  336   2.65020E-08  AR 40
  337   0.00000E+00  AR 41
  338   0.00000E+00  AR 42
  339   0.00000E+00  AR 43
  340   0.00000E+00  AR 44
  341   0.00000E+00  AR 45
  342   0.00000E+00  AR 46
  343   0.00000E+00  AR 47
  344   0.00000E+00  AR 48
  345   0.00000E+00  AR 49
  346   0.00000E+00  AR 50
  347   0.00000E+00  AR 51
  348   0.00000E+00  AR 52
  349   0.00000E+00  AR 53
  350   0.00000E+00  AR 54
  351   0.00000E+00  AR 55
  352   0.00000E+00  AR 56
  353   0.00000E+00  AR 57
  354   0.00000E+00  AR 58
  355   0.00000E+00  AR 59
  356   0.00000E+00  AR 60
  357   0.00000E+00  AR 61
  358   0.00000E+00  AR 62
  359   0.00000E+00  AR 63
  360   0.00000E+00  AR 64
  361   0.00000E+00  AR 65
  362   0.00000E+00  AR 66
  363   0.00000E+00  AR 67
  364   0.00000E+00  K  29
  365   0.00000E+00  K  30
  366   0.00000E+00  K  31
  367   0.00000E+00  K  32
  368   0.00000E+00  K  33
  369   0.00000E+00  K  34
  370   0.00000E+00  K  35
  371   0.00000E+00  K  36
  372   0.00000E+00  K  37
  373   0.00000E+00  K  38
  374   3.89973E-06  K  39
  375   5.00511E-10  K  40
  376   2.95867E-07  K  41
  377   0.00000E+00  K  42
  378   0.00000E+00  K  43
  379   0.00000E+00  K  44
  380   0.00000E+00  K  45
  381   0.00000E+00  K  46
  382   0.00000E+00  K  47
  383   0.00000E+00  K  48
  384   0.00000E+00  K  49
  385   0.00000E+00  K  50
  386   0.00000E+00  K  51
  387   0.00000E+00  K  52
  388   0.00000E+00  K  53
  389   0.00000E+00  K  54
  390   0.00000E+00  K  55
  391   0.00000E+00  K  56
  392   0.00000E+00  K  57
  393   0.00000E+00  K  58
  394   0.00000E+00  K  59
  395   0.00000E+00  K  60
  396   0.00000E+00  K  61
  397   0.00000E+00  K  62
  398   0.00000E+00  K  63
  399   0.00000E+00  K  64
  400   0.00000E+00  K  65
  401   0.00000E+00  K  66
  402   0.00000E+00  K  67
  403   0.00000E+00  K  68
  404   0.00000E+00  K  69
  405   0.00000E+00  K  70
  406   0.00000E+00  CA 30
  407   0.00000E+00  CA 31
  408   0.00000E+00  CA 32
  409   0.00000E+00  CA 33
  410   0.00000E+00  CA 34
  411   0.00000E+00  CA 35
  412   0.00000E+00  CA 36
  413   0.00000E+00  CA 37
  414   0.00000E+00  CA 38
  415   0.00000E+00  CA 39
  416   7.22521E-05  CA 40
  417   0.00000E+00  CA 41
  418   5.06333E-07  CA 42
  419   1.08165E-07  CA 43
  420   1.71021E-06  CA 44
  421   0.00000E+00  CA 45
  422   3.42847E-09  CA 46
  423   0.00000E+00  CA 47
  424   1.67250E-07  CA 48
  425   0.00000E+00  CA 49
  426   0.00000E+00  CA 50
  427   0.00000E+00  CA 51
  428   0.00000E+00  CA 52
  429   0.00000E+00  CA 53
  430   0.00000E+00  CA 54
  431   0.00000E+00  CA 55
  432   0.00000E+00  CA 56
  433   0.00000E+00  CA 57
  434   0.00000E+00  CA 58
  435   0.00000E+00  CA 59
  436   0.00000E+00  CA 60
  437   0.00000E+00  CA 61
  438   0.00000E+00  CA 62
  439   0.00000E+00  CA 63
  440   0.00000E+00  CA 64
  441   0.00000E+00  CA 65
  442   0.00000E+00  CA 66
  443   0.00000E+00  CA 67
  444   0.00000E+00  CA 68
  445   0.00000E+00  CA 69
  446   0.00000E+00  CA 70
  447   0.00000E+00  CA 71
  448   0.00000E+00  CA 72
  449   0.00000E+00  CA 73
  450   0.00000E+00  SC 32
  451   0.00000E+00  SC 33
  452   0.00000E+00  SC 34
  453   0.00000E+00  SC 35
  454   0.00000E+00  SC 36
  455   0.00000E+00  SC 37
  456   0.00000E+00  SC 38
  457   0.00000E+00  SC 39
  458   0.00000E+00  SC 40
  459   0.00000E+00  SC 41
  460   0.00000E+00  SC 42
  461   0.00000E+00  SC 43
  462   0.00000E+00  SC 44
  463   5.41372E-08  SC 45
  464   0.00000E+00  SC 46
  465   0.00000E+00  SC 47
  466   0.00000E+00  SC 48
  467   0.00000E+00  SC 49
  468   0.00000E+00  SC 50
  469   0.00000E+00  SC 51
  470   0.00000E+00  SC 52
  471   0.00000E+00  SC 53
